unit,sizen_r2,indic_is,geo\time	2017 	2014 	2011 	2009 
PC_ENT,10_C10_18,E_RFPSDP,EU28	: 	: 	2 	: 
PC_ENT,10_C10_18,E_RFPSDP,FI	: 	: 	2 	: 
PC_ENT,10_C10_18,E_RFPSDP,FR	: 	: 	2 	: 
PC_ENT,10_C10_18,E_RFPSDP,HR	: 	: 	3 	: 
PC_ENT,10_C10_18,E_RFPSDP,HU	: 	: 	1 	: 
PC_ENT,10_C10_18,E_RFPSDP,IE	: 	: 	6 	: 
PC_ENT,10_C10_18,E_RFPSDP,IT	: 	: 	2 	: 
PC_ENT,10_C10_18,E_RFPSDP,LT	: 	: 	3 	: 
PC_ENT,10_C10_18,E_RFPSDP,LU	: 	: 	4 	: 
PC_ENT,10_C10_18,E_RFPSDP,LV	: 	: 	0 n	: 
PC_ENT,10_C10_18,E_RFPSDP,MK	: 	: 	: u	: 
PC_ENT,10_C10_18,E_RFPSDP,MT	: 	: 	2 	: 
PC_ENT,10_C10_18,E_RFPSDP,NL	: 	: 	2 	: 
PC_ENT,10_C10_18,E_RFPSDP,NO	: 	: 	1 	: 
PC_ENT,10_C10_18,E_RFPSDP,PL	: 	: 	: u	: 
PC_ENT,10_C10_18,E_RFPSDP,PT	: 	: 	: u	: 
PC_ENT,10_C10_18,E_RFPSDP,RO	: 	: 	0 n	: 
PC_ENT,10_C10_18,E_RFPSDP,SE	: 	: 	1 	: 
PC_ENT,10_C10_18,E_RFPSDP,SI	: 	: 	1 	: 
PC_ENT,10_C10_18,E_RFPSDP,SK	: 	: 	2 	: 
PC_ENT,10_C10_18,E_RFPSDP,UK	: 	: 	1 	: 
PC_ENT,10_C10_18,E_RFPSDP1,AT	4 	5 	: 	: 
PC_ENT,10_C10_18,E_RFPSDP1,BE	10 	7 	: 	: 
PC_ENT,10_C10_18,E_RFPSDP1,BG	8 	7 	: 	: 
PC_ENT,10_C10_18,E_RFPSDP1,CY	3 	3 	: 	: 
PC_ENT,10_C10_18,E_RFPSDP1,CZ	0 n	0 n	: 	: 
PC_ENT,10_C10_18,E_RFPSDP1,DE	4 	4 	: 	: 
PC_ENT,10_C10_18,E_RFPSDP1,DK	3 	3 	: 	: 
PC_ENT,10_C10_18,E_RFPSDP1,EA	5 	5 	: 	: 
PC_ENT,10_C10_18,E_RFPSDP1,EE	4 	2 	: 	: 
PC_ENT,10_C10_18,E_RFPSDP1,EL	3 	: u	: 	: 
PC_ENT,10_C10_18,E_RFPSDP1,ES	10 	7 	: 	: 
PC_ENT,10_C10_18,E_RFPSDP1,EU15	5 	5 	: 	: 
PC_ENT,10_C10_18,E_RFPSDP1,EU27	5 	4 	: 	: 
PC_ENT,10_C10_18,E_RFPSDP1,EU28	5 	4 	: 	: 
PC_ENT,10_C10_18,E_RFPSDP1,FI	5 	6 	: 	: 
PC_ENT,10_C10_18,E_RFPSDP1,FR	5 	3 	: 	: 
PC_ENT,10_C10_18,E_RFPSDP1,HR	6 	4 	: 	: 
